排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
71,功夫,8.9,1308899人,周星驰 Stephen Chow,周星驰 Stephen Chow,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
72,西西里的美丽传说,8.9,1078850人,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,意大利 美国,剧情 战争 情色,
73,哈利·波特与阿兹卡班的囚徒,9.0,872534人,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,英国 美国,奇幻 冒险,不一样的导演，不一样的哈利·波特。
74,阿凡达,8.8,1550988人,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,美国,动作 科幻 冒险,绝对意义上的美轮美奂。
75,看不见的客人,8.8,1418126人,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas,西班牙,剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。
76,拯救大兵瑞恩,9.1,714174人,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,美国,剧情 战争,
77,沉默的羔羊,8.9,998701人,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster,美国,剧情 犯罪 惊悚,
78,小鞋子,9.2,455924人,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,伊朗,剧情 儿童 家庭,
79,飞越疯人院,9.1,595333人,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,美国,剧情,
80,布达佩斯大饭店,8.9,1065914人,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes,美国 德国 英国,剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。
81,蝴蝶效应,8.9,1050484人,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主...,未知,美国 加拿大,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。
82,禁闭岛,8.9,1094972人,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio,美国,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。
83,心灵捕手,9.0,802578人,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon,美国,剧情,
84,致命魔术,8.9,950314人,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,英国 美国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
85,低俗小说,8.9,942460人,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,美国,剧情 喜剧 犯罪,
86,超脱,9.0,708697人,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。
87,哈利·波特与密室,8.9,897863人,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe,英国 美国,奇幻 冒险,
88,还有明天,9.3,333687人,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,意大利,剧情 喜剧 历史,
89,喜剧之王,8.8,1077814人,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,中国香港,喜剧 剧情 爱情,
90,摩登时代,9.3,340521人,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,美国,剧情 喜剧 爱情,
91,一一,9.1,489498人,杨德昌 Edward Yang,吴念真,中国台湾 日本,剧情 爱情 家庭,
92,杀人回忆,8.9,821546人,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song,韩国,剧情 动作 犯罪 悬疑 惊悚,
93,致命ID,8.9,931433人,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack,美国,剧情 悬疑 惊悚,
94,春光乍泄,9.0,700701人,王家卫 Kar Wai Wong,张国荣 Leslie Cheung,中国香港 日本 韩国,剧情 爱情 同性,
95,海豚湾,9.3,379079人,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,美国,纪录片,海豚的微笑，是世界上最高明的伪装。
96,加勒比海盗,8.8,953698人,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp,美国,动作 冒险 奇幻,
97,美国往事,9.1,463449人,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,美国 意大利,犯罪 剧情,
98,红辣椒,9.0,556602人,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara,日本,动画 悬疑 科幻 惊悚,梦的勾结。
99,七宗罪,8.8,1045246人,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman,美国,剧情 犯罪 悬疑 惊悚,
100,唐伯虎点秋香,8.8,1205916人,李力持 Lik-Chi Lee,周星驰 Stephen Chow,中国香港,喜剧 爱情 古装,
101,狩猎,9.1,459878人,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,丹麦 瑞典,剧情,人言可畏。
102,幽灵公主,8.9,658063人,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda,日本,动画 奇幻 冒险,
103,甜蜜蜜,8.9,659460人,陈可辛 Peter Chan,黎明 Leon Lai,中国香港,剧情 爱情,
104,蝙蝠侠：黑暗骑士崛起,8.9,802431人,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,美国 英国,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。
105,寄生虫,8.8,1525802人,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song,韩国,剧情,
106,天书奇谭,9.2,326178人,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,(中国大陆),2021 中国大陆 动画 奇幻,
107,7号房的礼物,8.9,614325人,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo,韩国,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。
